Datetime;Ticker;superior_POI;Close;Timeframe;DIRECTION;first_fractal_Datetime;first_fractal;first_fractal_price;second_fractal_Datetime;second_fractal;second_fractal_price
2021-12-17 00:00:00;GBPAUD;6;1,8566099405288696;D1;;2021-08-20 00:00:00;higher_high;1,915484826490485;2021-11-02 00:00:00;higher_low;1,812253527105373
2021-12-19 23:00:00+00:00;EURUSD;6;1,1270145177841189;H12;;2021-09-03 12:00:00+01:00;6;1,1900057316597417;2021-11-24 11:00:00+00:00;lower_low;1,1196049447580474
2021-12-19 23:00:00+00:00;EURUSD;6;1,1256190538406372;H8;;2021-11-24 15:00:00+00:00;lower_low;1,1196049447580474;2021-11-30 07:00:00+00:00;lower_high;1,1382663883063813
2021-12-20 05:00:00+00:00;EURUSD;6;1,1270145177841189;H6;;2021-12-07 11:00:00+00:00;higher_low;1,124262671335559;2021-12-08 17:00:00+00:00;lower_high;1,135423255439674
2021-12-20 07:00:00+00:00;EURUSD;6;1,1270145177841189;H4;;2021-11-24 15:00:00+00:00;lower_low;1,1196049447580474;2021-11-30 11:00:00+00:00;lower_high;1,1382663883063813
2021-12-20 08:00:00+00:00;EURUSD;6;1,1270145177841189;H3;;2021-11-30 14:00:00+00:00;lower_high;1,1382663883063813;2021-12-07 11:00:00+00:00;higher_low;1,124262671335559
2021-12-20 11:00:00+00:00;EURUSD;1;1,127268671989441;H2;BUY;2021-12-10 11:00:00+00:00;higher_low;1,126923446067823;2021-12-16 13:00:00+00:00;higher_high;1,136197224685341
2021-12-01 00:00:00;EURUSD;6;1,1334141492843628;MO;;2017-01-01 00:00:00;higher_low;1,0346846062787804;2018-02-01 00:00:00;lower_high;1,255909594428834
2021-12-13 00:00:00;EURUSD;6;1,1239616870880127;W1;;2020-03-16 00:00:00;6;1,065364452266575;2021-01-04 00:00:00;lower_high;1,2351250866777053
2021-12-17 00:00:00;EURUSD;6;1,1334141492843628;D1;SELL;2021-10-28 00:00:00;lower_high;1,169411616528041;2021-11-24 00:00:00;lower_low;1,1186905641930802
2021-12-19 23:00:00+00:00;EURNZD;6;1,6772199869155884;H12;;2021-11-21 23:00:00+00:00;lower_low;1,6070001817979411;2021-12-03 11:00:00+00:00;lower_high;1,6767154334211558
2021-12-19 23:00:00+00:00;EURNZD;6;1,67507004737854;H8;;2021-11-22 07:00:00+00:00;lower_low;1,6070001817979411;2021-12-03 15:00:00+00:00;higher_high;1,6767154334211558
2021-12-20 05:00:00+00:00;EURNZD;6;1,6772199869155884;H6;;2021-11-22 05:00:00+00:00;lower_low;1,6070001817979411;2021-12-03 17:00:00+00:00;higher_high;1,6767154334211558
2021-12-20 07:00:00+00:00;EURNZD;6;1,6772199869155884;H4;;2021-12-07 19:00:00+00:00;higher_low;1,6574660979668676;2021-12-14 11:00:00+00:00;lower_high;1,6757954209952763
2021-12-20 08:00:00+00:00;EURNZD;6;1,6772199869155884;H3;;2021-12-07 20:00:00+00:00;higher_low;1,6574660979668676;2021-12-14 11:00:00+00:00;lower_high;1,6757954209952763
